arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2018-01-01T09:43:00,WestJet,1922,B23,4
D,2018-01-01T09:44:00,American Airlines,1598,B7,4
D,2018-01-01T09:44:00,American Airlines,3068,B9,4
D,2018-01-01T09:45:00,American Airlines,665,A6,4
D,2018-01-01T09:45:00,American Airlines,515,B23,4
D,2018-01-01T09:45:00,American Airlines,3080,A1,4
D,2018-01-01T09:45:00,American Airlines,3071,B5,4
D,2018-01-01T09:46:00,American Airlines,593,A27,4
A,2018-01-01T09:46:00,Delta Air Lines,1384,19,3
D,2018-01-01T09:48:00,American Airlines,3022,B22,4
D,2018-01-01T09:49:00,American Airlines,1100,A18,4
D,2018-01-01T09:50:00,American Airlines,460,B8,4
D,2018-01-01T09:50:00,American Airlines,646,A5,4
D,2018-01-01T09:50:00,American Airlines,5757,B20,4
D,2018-01-01T09:50:00,Southwest Airlines,625,D7,4
A,2018-01-01T09:50:00,Alaska Airlines,636,11,2
D,2018-01-01T09:51:00,American Airlines,489,A25,4
A,2018-01-01T09:52:00,American Airlines,601,A17,4
D,2018-01-01T09:53:00,American Airlines,5785,B21,4
A,2018-01-01T09:54:00,American Airlines,588,A8,4
D,2018-01-01T09:55:00,American Airlines,578,B10,4
D,2018-01-01T09:55:00,American Airlines,5839,B19,4
D,2018-01-01T09:55:00,Southwest Airlines,6007,C11,4
A,2018-01-01T09:55:00,Southwest Airlines,8639,C4,4
A,2018-01-01T09:56:00,American Airlines,1657,A27,4
A,2018-01-01T09:56:00,American Airlines,319,A14,4
A,2018-01-01T09:59:00,United Airlines,237,6B,2
D,2018-01-01T10:00:00,American Airlines,1639,A4,4
D,2018-01-01T10:00:00,American Airlines,463,A30,4
D,2018-01-01T10:00:00,American Airlines,579,B12,4
D,2018-01-01T10:00:00,American Airlines,649,A13,4
A,2018-01-01T10:00:00,American Airlines,531,A8,4
A,2018-01-01T10:00:00,American Airlines,625,A12,4
A,2018-01-01T10:00:00,Southwest Airlines,454,D7,4
A,2018-01-01T10:00:00,Southwest Airlines,1224,C19,4
D,2018-01-01T10:01:00,American Airlines,567,A19,4
A,2018-01-01T10:01:00,United Airlines,5411,5,2
A,2018-01-01T10:01:00,American Airlines,1456,A23,4
D,2018-01-01T10:02:00,American Airlines,1985,A21,4
A,2018-01-01T10:02:00,American Airlines,386,B14,4
A,2018-01-01T10:02:00,American Airlines,5932,B22,4
A,2018-01-01T10:03:00,American Airlines,485,A29,4
D,2018-01-01T10:04:00,American Airlines,106,A29,4
D,2018-01-01T10:04:00,American Airlines,406,B6,4
A,2018-01-01T10:04:00,American Airlines,1468,A2,4
D,2018-01-01T10:05:00,American Airlines,552,B6,4
A,2018-01-01T10:06:00,American Airlines,493,A10,4
A,2018-01-01T10:07:00,American Airlines,5808,B16,4
A,2018-01-01T10:08:00,American Airlines,414,B6,4
A,2018-01-01T10:08:00,American Airlines,1428,A9,4
A,2018-01-01T10:10:00,American Airlines,638,B8,4
A,2018-01-01T10:11:00,American Airlines,506,A6,4
A,2018-01-01T10:13:00,American Airlines,3032,B7,4
D,2018-01-01T10:14:00,Delta Air Lines,160,17,3
A,2018-01-01T10:14:00,American Airlines,5765,A1,4
D,2018-01-01T10:15:00,Southwest Airlines,6411,C7,4
A,2018-01-01T10:15:00,Southwest Airlines,1328,C9,4
A,2018-01-01T10:18:00,American Airlines,1572,A7,4
A,2018-01-01T10:18:00,American Airlines,3075,B1A,4
A,2018-01-01T10:19:00,American Airlines,481,A21,4
D,2018-01-01T10:20:00,Southwest Airlines,1368,C9,4
D,2018-01-01T10:20:00,Southwest Airlines,1816,D8,4
D,2018-01-01T10:20:00,Southwest Airlines,1734,D4,4
D,2018-01-01T10:20:00,Southwest Airlines,1547,C18,4
D,2018-01-01T10:20:00,Southwest Airlines,1556,D1,4
A,2018-01-01T10:20:00,American Airlines,5884,B5,4
A,2018-01-01T10:20:00,American Airlines,5893,B9,4
A,2018-01-01T10:20:00,American Airlines,5920,B21,4
A,2018-01-01T10:21:00,American Airlines,1431,A25,4
A,2018-01-01T10:21:00,American Airlines,780,A3,4
